id;role;min_limit;max_limit;created_on;created_by;updated_on;updated_by;status
1;generation orange;83128;41122;2022-04-28T18:33:13;relationships Global;2022-04-28T07:49:48;Bedfordshire Island;JSON
2;Engineer Bike Checking;19116;62020;2022-04-28T08:36:53;withdrawal invoice Operations;2022-04-28T23:29:20;Interface parse secondary;Legacy parse
3;Credit;95270;61644;2022-04-28T18:52:52;Lithuania panel;2022-04-28T16:44:00;index International Run;Handmade
4;Fundamental deposit Carolina;51134;95626;2022-04-28T18:33:53;national harness Compatible;2022-04-29T04:57:36;withdrawal Group Cotton;Home
5;Mozambique;53575;43645;2022-04-29T03:07:12;Central payment;2022-04-28T17:45:45;envisioneer Burg;Parkway
6;Frozen;66570;10488;2022-04-28T15:24:42;24/365;2022-04-29T00:39:16;cross-platform invoice hack;Managed
7;transmitter Dalasi Cotton;92029;74598;2022-04-29T05:06:34;uniform Wyoming Consultant;2022-04-29T01:16:11;static Court;generate grow
8;Optimization User-centric;13268;44074;2022-04-28T14:39:39;interface;2022-04-28T19:02:20;Guilder initiatives;Ball Car Future-proofed
9;repurpose deposit;25970;35474;2022-04-29T06:26:26;Response;2022-04-28T07:20:56;Luxembourg composite;Games
10;Future Dynamic;97199;38849;2022-04-28T20:29:00;backing;2022-04-29T01:10:33;Rustic;Corporate
